Date,Province_State,claims,Confirmed,Deaths,New_Weekly_Cases,New_Weekly_Deaths,Recovered,Active
2020-04-18,FL,506670.0,25492.0,748.0,0.0,0.0,,
2020-04-25,FL,433103.0,30839.0,1055.0,5347.0,307.0,,
2020-05-02,FL,174860.0,35463.0,1364.0,4624.0,309.0,0.0,34099.0
2020-05-09,FL,223082.0,40001.0,1715.0,4538.0,351.0,,
2020-05-16,FL,225404.0,44811.0,1964.0,4810.0,249.0,,
2020-05-23,FL,175411.0,50127.0,2233.0,5316.0,269.0,,
2020-05-30,FL,207707.0,55424.0,2447.0,5297.0,214.0,,
2020-06-06,FL,112161.0,62758.0,2688.0,7334.0,241.0,,
2020-06-13,FL,88148.0,73552.0,2925.0,10794.0,237.0,,
2020-06-20,FL,95683.0,93797.0,3144.0,20245.0,219.0,,
2020-06-27,FL,84370.0,132545.0,3390.0,38748.0,246.0,,
2020-07-04,FL,66941.0,190052.0,3702.0,57507.0,312.0,,
2020-07-11,FL,132831.0,254511.0,4197.0,64459.0,495.0,,
2020-07-18,FL,108976.0,337569.0,4895.0,83058.0,698.0,,
2020-07-25,FL,91462.0,414511.0,5777.0,76942.0,882.0,,
2020-08-01,FL,78286.0,480028.0,7022.0,65517.0,1245.0,,
2020-08-08,FL,61584.0,526577.0,8109.0,46549.0,1087.0,,
2020-08-15,FL,72774.0,569637.0,9345.0,43060.0,1236.0,,
2020-08-22,FL,51647.0,597597.0,10274.0,27960.0,929.0,,
2020-08-29,FL,45590.0,619003.0,11105.0,21406.0,831.0,,
2020-09-05,FL,40256.0,643867.0,11811.0,24864.0,706.0,,
2020-09-12,FL,37265.0,661571.0,12600.0,17704.0,789.0,,
2020-09-19,FL,39028.0,681233.0,13287.0,19662.0,687.0,,
2020-09-26,FL,32373.0,698682.0,14022.0,17449.0,735.0,,
2020-10-03,FL,42306.0,714591.0,14628.0,15909.0,606.0,,
2020-10-10,FL,47904.0,728921.0,15186.0,14330.0,558.0,,
2020-10-17,FL,40070.0,752481.0,15917.0,23560.0,731.0,,
2020-10-24,FL,33542.0,776251.0,16417.0,23770.0,500.0,,
2020-10-31,FL,31625.0,802547.0,16761.0,26296.0,344.0,,
2020-11-07,FL,31403.0,837077.0,17100.0,34530.0,339.0,,
2020-11-14,FL,24358.0,875096.0,17489.0,38019.0,389.0,,
2020-11-21,FL,26931.0,931827.0,17930.0,56731.0,441.0,,
2020-11-28,FL,23063.0,985297.0,18442.0,53470.0,512.0,,
2020-12-05,FL,29142.0,1049638.0,19084.0,64341.0,642.0,,
2020-12-12,FL,26018.0,1116973.0,19785.0,67335.0,701.0,,
2020-12-19,FL,28609.0,1193165.0,20473.0,76192.0,688.0,,
2020-12-26,FL,26533.0,1264588.0,21135.0,71423.0,662.0,,
2021-01-02,FL,24697.0,1354833.0,21890.0,90245.0,755.0,,
2021-01-09,FL,30583.0,1464697.0,22804.0,109864.0,914.0,,
2021-01-16,FL,39226.0,1560186.0,24004.0,95489.0,1200.0,,
2021-01-23,FL,62818.0,1639914.0,25164.0,79728.0,1160.0,,
2021-01-30,FL,69140.0,1713589.0,26360.0,73675.0,1196.0,,
2021-02-06,FL,21710.0,1771359.0,27599.0,57770.0,1239.0,,
2021-02-13,FL,21564.0,1821937.0,28683.0,50578.0,1084.0,,
2021-02-20,FL,18630.0,1863707.0,29813.0,41770.0,1130.0,,
2021-02-27,FL,19020.0,1903682.0,30734.0,39975.0,921.0,,
2021-03-06,FL,19281.0,1940897.0,31620.0,37215.0,886.0,,
2021-03-13,FL,20340.0,1973109.0,32225.0,32212.0,605.0,,
2021-03-20,FL,17349.0,2004362.0,32713.0,31253.0,488.0,,
2021-03-27,FL,15716.0,2039062.0,33142.0,34700.0,429.0,,
2021-04-03,FL,15025.0,2077032.0,33652.0,37970.0,510.0,,
2021-04-10,FL,24402.0,2118713.0,34014.0,41681.0,362.0,,
2021-04-17,FL,18838.0,2162067.0,34404.0,43354.0,390.0,,
2021-04-24,FL,28017.0,2203913.0,34812.0,41846.0,408.0,,
2021-05-01,FL,19765.0,2238937.0,35239.0,35024.0,427.0,,
2021-05-08,FL,17555.0,2266575.0,35700.0,27638.0,461.0,,
2021-05-15,FL,14561.0,2289522.0,36056.0,22947.0,356.0,,
2021-05-22,FL,9882.0,2308266.0,36463.0,18744.0,407.0,,
2021-05-29,FL,8257.0,2320818.0,36774.0,12552.0,311.0,,
2021-06-05,FL,6552.0,2332867.0,36985.0,12049.0,211.0,,
2021-06-12,FL,9896.0,2344321.0,37265.0,11454.0,280.0,,
2021-06-19,FL,7667.0,2354416.0,37555.0,10095.0,290.0,,
2021-06-26,FL,6917.0,2365464.0,37772.0,11048.0,217.0,,
2021-07-03,FL,6739.0,2381148.0,37985.0,15684.0,213.0,,
2021-07-10,FL,7457.0,2404895.0,38157.0,23747.0,172.0,,
2021-07-17,FL,9970.0,2450344.0,38388.0,45449.0,231.0,,
2021-07-24,FL,10110.0,2523510.0,38670.0,73166.0,282.0,,
2021-07-31,FL,7718.0,2634234.0,39079.0,110724.0,409.0,,
2021-08-07,FL,5905.0,2768985.0,39695.0,134751.0,616.0,,
2021-08-14,FL,5432.0,2920749.0,40766.0,151764.0,1071.0,,
2021-08-21,FL,7977.0,3071489.0,42252.0,150740.0,1486.0,,
2021-08-28,FL,9700.0,3223249.0,43979.0,151760.0,1727.0,,
2021-09-04,FL,7218.0,3352451.0,46324.0,129202.0,2345.0,,
2021-09-11,FL,7761.0,3452700.0,48772.0,100249.0,2448.0,,
2021-09-18,FL,9316.0,3528698.0,51240.0,75998.0,2468.0,,
2021-09-25,FL,7713.0,3582807.0,53580.0,54109.0,2340.0,,
2021-10-02,FL,7054.0,3620106.0,55299.0,37299.0,1719.0,,
2021-10-09,FL,6215.0,3645290.0,56667.0,25184.0,1368.0,,
2021-10-16,FL,7481.0,3664097.0,57859.0,18807.0,1192.0,,
2021-10-23,FL,8788.0,3678661.0,58803.0,14564.0,944.0,,
2021-10-30,FL,6502.0,3690812.0,59670.0,12151.0,867.0,,
2021-11-06,FL,6217.0,3701310.0,60334.0,10498.0,664.0,,
2021-11-13,FL,6116.0,3711612.0,60698.0,10302.0,364.0,,
2021-11-20,FL,5831.0,3721503.0,61081.0,9891.0,383.0,,
2021-11-27,FL,4136.0,3721503.0,61147.0,0.0,66.0,,
2021-12-04,FL,6212.0,3741058.0,61701.0,19555.0,554.0,,
2021-12-11,FL,6033.0,3754042.0,62026.0,12984.0,325.0,,
2021-12-18,FL,5160.0,3782883.0,62220.0,28841.0,194.0,,
2021-12-25,FL,4244.0,3907748.0,62347.0,124865.0,127.0,,
2022-01-01,FL,4299.0,4209927.0,62504.0,302179.0,157.0,,
2022-01-08,FL,10103.0,4633077.0,62688.0,423150.0,184.0,,
2022-01-15,FL,8593.0,5041918.0,63158.0,408841.0,470.0,,
2022-01-22,FL,7346.0,5324438.0,63763.0,282520.0,605.0,,
2022-01-29,FL,6680.0,5522206.0,64955.0,197768.0,1192.0,,
2022-02-05,FL,5925.0,5653905.0,66279.0,131699.0,1324.0,,
2022-02-12,FL,6044.0,5776333.0,67572.0,122428.0,1293.0,,
2022-02-19,FL,5510.0,5818706.0,68902.0,42373.0,1330.0,,
