Date,Province_State,claims,Confirmed,Deaths,New_Weekly_Cases,New_Weekly_Deaths,Recovered,Active
2020-04-18,NY,205184.0,241712.0,17634.0,0.0,0.0,23887.0,200191.0
2020-04-25,NY,219413.0,282143.0,21933.0,40431.0,4299.0,23887.0,236323.0
2020-05-02,NY,195110.0,312977.0,24090.0,30834.0,2157.0,57540.0,231347.0
2020-05-09,NY,199419.0,333122.0,26499.0,20145.0,2409.0,57180.0,249443.0
2020-05-16,NY,229524.0,348232.0,27922.0,15110.0,1423.0,60796.0,259514.0
2020-05-23,NY,189698.0,359926.0,28904.0,11694.0,982.0,63292.0,267730.0
2020-05-30,NY,82326.0,369660.0,29574.0,9734.0,670.0,65609.0,274477.0
2020-06-06,NY,94167.0,377316.0,30127.0,7656.0,553.0,67261.0,279928.0
2020-06-13,NY,95559.0,382630.0,30637.0,5314.0,510.0,68584.0,283409.0
2020-06-20,NY,89299.0,387272.0,30922.0,4642.0,285.0,69506.0,286844.0
2020-06-27,NY,90083.0,391923.0,31207.0,4651.0,285.0,70010.0,290706.0
2020-07-04,NY,94108.0,396598.0,31995.0,4675.0,788.0,70877.0,293726.0
2020-07-11,NY,91898.0,401029.0,32179.0,4431.0,184.0,71477.0,297373.0
2020-07-18,NY,88402.0,406305.0,32312.0,5276.0,133.0,72064.0,301929.0
2020-07-25,NY,85294.0,411200.0,32442.0,4895.0,130.0,72632.0,306126.0
2020-08-01,NY,74187.0,415767.0,32527.0,4567.0,85.0,73134.0,310106.0
2020-08-08,NY,52794.0,420345.0,32601.0,4578.0,74.0,73609.0,314135.0
2020-08-15,NY,62698.0,424901.0,32666.0,4556.0,65.0,74081.0,318154.0
2020-08-22,NY,62683.0,429165.0,32705.0,4264.0,39.0,74553.0,321907.0
2020-08-29,NY,63366.0,433402.0,32772.0,4237.0,67.0,74990.0,325640.0
2020-09-05,NY,64734.0,441012.0,32821.0,7610.0,49.0,75366.0,332825.0
2020-09-12,NY,61897.0,446028.0,32858.0,5016.0,37.0,75707.0,337463.0
2020-09-19,NY,69790.0,451655.0,32915.0,5627.0,57.0,76101.0,342639.0
2020-09-26,NY,64678.0,457573.0,33120.0,5918.0,205.0,76528.0,347925.0
2020-10-03,NY,64156.0,466307.0,33207.0,8734.0,87.0,77004.0,356096.0
2020-10-10,NY,66385.0,476397.0,33296.0,10090.0,89.0,77514.0,365587.0
2020-10-17,NY,54890.0,486207.0,33376.0,9810.0,80.0,78235.0,374596.0
2020-10-24,NY,51599.0,497732.0,33463.0,11525.0,87.0,78960.0,385309.0
2020-10-31,NY,45716.0,511761.0,33559.0,14029.0,96.0,79717.0,398485.0
2020-11-07,NY,43876.0,530218.0,33715.0,18457.0,156.0,80494.0,416009.0
2020-11-14,NY,43391.0,561921.0,33844.0,31703.0,129.0,81585.0,446492.0
2020-11-21,NY,46821.0,597680.0,34126.0,35759.0,282.0,83031.0,480523.0
2020-11-28,NY,45863.0,643163.0,34358.0,45483.0,232.0,84938.0,523867.0
2020-12-05,NY,62677.0,704683.0,34763.0,61520.0,405.0,87473.0,582447.0
2020-12-12,NY,58153.0,774228.0,35335.0,69545.0,572.0,90747.0,648146.0
2020-12-19,NY,41106.0,847778.0,36142.0,73550.0,807.0,94579.0,717057.0
2020-12-26,NY,51424.0,924014.0,37108.0,76236.0,966.0,99156.0,787750.0
2021-01-02,NY,56917.0,1011665.0,38093.0,87651.0,985.0,103828.0,869744.0
2021-01-09,NY,73121.0,1119284.0,39288.0,107619.0,1195.0,109035.0,970961.0
2021-01-16,NY,62185.0,1228867.0,40621.0,109583.0,1333.0,114868.0,1073378.0
2021-01-23,NY,66250.0,1323312.0,41950.0,94445.0,1329.0,120901.0,1160461.0
2021-01-30,NY,77390.0,1408698.0,43268.0,85386.0,1318.0,126842.0,1238588.0
2021-02-06,NY,59983.0,1470301.0,44478.0,61603.0,1210.0,132012.0,1293811.0
2021-02-13,NY,56931.0,1531540.0,45566.0,61239.0,1088.0,137276.0,1348698.0
2021-02-20,NY,47814.0,1585435.0,46512.0,53895.0,946.0,141592.0,1397331.0
2021-02-27,NY,60130.0,1636040.0,47300.0,50605.0,788.0,,
2021-03-06,NY,48224.0,1686993.0,48045.0,50953.0,745.0,,
2021-03-13,NY,47289.0,1734676.0,48648.0,47683.0,603.0,,
2021-03-20,NY,35991.0,1779034.0,49201.0,44358.0,553.0,,
2021-03-27,NY,39776.0,1841822.0,49728.0,62788.0,527.0,,
2021-04-03,NY,42467.0,1898101.0,50350.0,56279.0,622.0,,
2021-04-10,NY,58495.0,1949964.0,50835.0,51863.0,485.0,,
2021-04-17,NY,41655.0,1993271.0,51337.0,43307.0,502.0,,
2021-04-24,NY,41056.0,2027029.0,51748.0,33758.0,411.0,,
2021-05-01,NY,31523.0,2052022.0,52107.0,24993.0,359.0,,
2021-05-08,NY,23417.0,2070053.0,52450.0,18031.0,343.0,,
2021-05-15,NY,20808.0,2083623.0,52709.0,13570.0,259.0,,
2021-05-22,NY,19505.0,2094245.0,52905.0,10622.0,196.0,,
2021-05-29,NY,19615.0,2101055.0,53064.0,6810.0,159.0,,
2021-06-05,NY,18515.0,2105375.0,53221.0,4320.0,157.0,,
2021-06-12,NY,19191.0,2108950.0,53330.0,3575.0,109.0,,
2021-06-19,NY,18496.0,2111556.0,53395.0,2606.0,65.0,,
2021-06-26,NY,20353.0,2113742.0,53440.0,2186.0,45.0,,
2021-07-03,NY,25083.0,2116166.0,53483.0,2424.0,43.0,,
2021-07-10,NY,33273.0,2119692.0,53524.0,3526.0,41.0,,
2021-07-17,NY,22546.0,2125535.0,53556.0,5843.0,32.0,,
2021-07-24,NY,18841.0,2135161.0,53594.0,9626.0,38.0,,
2021-07-31,NY,17469.0,2150390.0,53641.0,15229.0,47.0,,
2021-08-07,NY,14548.0,2173080.0,53729.0,22690.0,88.0,,
2021-08-14,NY,14722.0,2201468.0,53857.0,28388.0,128.0,,
2021-08-21,NY,14932.0,2233083.0,54012.0,31615.0,155.0,,
2021-08-28,NY,18708.0,2262893.0,54159.0,29810.0,147.0,,
2021-09-04,NY,15688.0,2297642.0,54378.0,34749.0,219.0,,
2021-09-11,NY,16776.0,2331615.0,54636.0,33973.0,258.0,,
2021-09-18,NY,14501.0,2366441.0,54865.0,34826.0,229.0,,
2021-09-25,NY,15392.0,2402248.0,55131.0,35807.0,266.0,,
2021-10-02,NY,14165.0,2436048.0,55434.0,33800.0,303.0,,
2021-10-09,NY,15394.0,2470550.0,55673.0,34502.0,239.0,,
2021-10-16,NY,13263.0,2502914.0,55935.0,32364.0,262.0,,
2021-10-23,NY,13586.0,2530860.0,56199.0,27946.0,264.0,,
2021-10-30,NY,13592.0,2556628.0,56413.0,25768.0,214.0,,
2021-11-06,NY,14476.0,2585365.0,56692.0,28737.0,279.0,,
2021-11-13,NY,14172.0,2622131.0,56922.0,36766.0,230.0,,
2021-11-20,NY,14964.0,2665759.0,57158.0,43628.0,236.0,,
2021-11-27,NY,14867.0,2710507.0,57401.0,44748.0,243.0,,
2021-12-04,NY,23390.0,2769624.0,57725.0,59117.0,324.0,,
2021-12-11,NY,15233.0,2838326.0,58122.0,68702.0,397.0,,
2021-12-18,NY,15371.0,2934453.0,58540.0,96127.0,418.0,,
2021-12-25,NY,17658.0,3102022.0,58937.0,167569.0,397.0,,
2022-01-01,NY,26470.0,3517696.0,59585.0,415674.0,648.0,,
2022-01-08,NY,37109.0,4057133.0,60441.0,539437.0,856.0,,
2022-01-15,NY,23255.0,4460856.0,61746.0,403723.0,1305.0,,
2022-01-22,NY,17533.0,4675346.0,63191.0,214490.0,1445.0,,
2022-01-29,NY,18208.0,4790901.0,64718.0,115555.0,1527.0,,
