date,actual,forecast,error
2022-11-19,16505,14324.883418190602,2180.1165818093978
2022-11-26,15189,13798.073810544687,1390.9261894553129
2022-12-03,23966,14901.05962909131,9064.94037090869
2022-12-10,16832,14762.930069896769,2069.069930103231
2022-12-17,16517,14878.350512654573,1638.6494873454267
2022-12-24,18596,14954.96103068933,3641.03896931067
2022-12-31,21765,14600.787897837065,7164.2121021629355
2023-01-07,39050,14651.845461345478,24398.154538654522
2023-01-14,21642,14453.629722644022,7188.370277355978
2023-01-21,16685,14007.630696799322,2677.3693032006777
2023-01-28,17634,14126.242021168468,3507.7579788315325
2023-02-04,17210,14037.909277525134,3172.090722474866
2023-02-11,16566,13650.685929601665,2915.3140703983354
2023-02-18,14461,13547.339909217297,913.6600907827033
2023-02-25,13878,13646.098065827004,231.90193417299633
2023-03-04,30122,13326.775086786081,16795.22491321392
