,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
2020-02-29,1575.0,874.0,3086.0,1418.0,41678.0,1681.0,2843.0,524.0,4853.0,5538.0,1049.0,998.0,8980.0,2276.0,2240.0,1517.0,2223.0,1509.0,862.0,2626.0,4865.0,5419.0,3410.0,744.0,2732.0,695.0,522.0,2324.0,894.0,7773.0,681.0,31208.0,1767.0,363.0,9916.0,1458.0,3936.0,12045.0,874.0,1977.0,159.0,2014.0,12692.0,885.0,863.0,3267.0,5770.0,1108.0,5658.0,471.0
2020-03-07,1663.0,815.0,3357.0,1843.0,43385.0,1865.0,2527.0,518.0,5325.0,4569.0,1275.0,938.0,8727.0,2223.0,2221.0,1365.0,2463.0,1698.0,715.0,2675.0,4712.0,5150.0,3488.0,879.0,2994.0,714.0,530.0,2309.0,495.0,7996.0,690.0,14035.0,2575.0,423.0,6545.0,1569.0,4154.0,12227.0,700.0,1889.0,185.0,2032.0,14355.0,1015.0,446.0,2527.0,6616.0,1033.0,5052.0,534.0
2020-03-14,1819.0,1120.0,3844.0,1382.0,57606.0,2321.0,3440.0,472.0,6463.0,5445.0,1589.0,1031.0,11305.0,2596.0,2229.0,1755.0,2785.0,2255.0,634.0,3864.0,7449.0,5338.0,4010.0,1147.0,4016.0,817.0,819.0,6356.0,642.0,9467.0,869.0,14272.0,3533.0,415.0,7046.0,1836.0,4269.0,15439.0,1108.0,2093.0,190.0,2702.0,16176.0,1305.0,659.0,2706.0,14240.0,865.0,5190.0,517.0
2020-03-21,10892.0,7847.0,29348.0,9275.0,186333.0,19774.0,25100.0,10776.0,74313.0,12140.0,8817.0,13586.0,126716.0,59755.0,40952.0,19356.0,49023.0,72438.0,21459.0,42982.0,148452.0,128006.0,115773.0,5519.0,42246.0,15349.0,15861.0,92298.0,29379.0,115815.0,18105.0,79999.0,94083.0,5662.0,196309.0,21926.0,30054.0,363000.0,35847.0,31826.0,1761.0,38077.0,155426.0,19690.0,3784.0,46277.0,129909.0,3536.0,51031.0,3653.0
2020-03-28,80984.0,13774.0,88940.0,27756.0,1058325.0,61838.0,33227.0,19137.0,228484.0,133820.0,48596.0,32941.0,185575.0,139174.0,55966.0,43703.0,113149.0,97400.0,23770.0,85377.0,181423.0,304335.0,109095.0,32015.0,104291.0,20763.0,25033.0,71942.0,31378.0,206253.0,27849.0,366595.0,172145.0,11818.0,274288.0,47744.0,47498.0,374056.0,27800.0,66475.0,6801.0,92500.0,276185.0,28532.0,14633.0,112497.0,182849.0,14523.0,110934.0,6396.0
2020-04-04,106739.0,14590.0,132428.0,62086.0,918814.0,46326.0,33464.0,18851.0,169885.0,390132.0,53102.0,30904.0,202157.0,127010.0,64194.0,36497.0,117575.0,100621.0,30910.0,109653.0,139647.0,388554.0,110260.0,45852.0,91458.0,21244.0,27333.0,79285.0,39202.0,214836.0,26132.0,344451.0,137422.0,15125.0,226191.0,60534.0,62788.0,239077.0,28243.0,86573.0,8138.0,112186.0,315167.0,33040.0,16474.0,147369.0,171252.0,14494.0,104823.0,6543.0
2020-04-11,77515.0,12007.0,98531.0,35629.0,655472.0,104572.0,34050.0,13258.0,180419.0,319581.0,34717.0,18531.0,140787.0,113755.0,43889.0,24871.0,116277.0,79653.0,13488.0,63235.0,103813.0,222207.0,93133.0,45748.0,102126.0,14275.0,16531.0,58641.0,25273.0,141420.0,19043.0,394701.0,140155.0,9502.0,159317.0,54481.0,54581.0,172733.0,22509.0,89147.0,6359.0,71887.0,274257.0,24515.0,9662.0,104619.0,144455.0,14944.0,70000.0,5794.0
2020-04-18,66432.0,12201.0,72457.0,25404.0,528360.0,67639.0,102808.0,9446.0,506670.0,247003.0,26591.0,13023.0,118996.0,72756.0,26901.0,24330.0,103981.0,91923.0,11769.0,48570.0,80969.0,136707.0,74829.0,36913.0,59602.0,11176.0,12404.0,39496.0,20414.0,140139.0,13621.0,205184.0,106266.0,8065.0,109830.0,46696.0,37209.0,124633.0,18078.0,74362.0,5295.0,67226.0,280761.0,19649.0,6598.0,82729.0,83475.0,46755.0,55883.0,4381.0
2020-04-25,74966.0,10313.0,52581.0,17671.0,325343.0,38662.0,33041.0,7947.0,433103.0,266565.0,22496.0,8827.0,101322.0,55774.0,27220.0,22726.0,91223.0,66141.0,7661.0,37995.0,71358.0,82004.0,48595.0,29906.0,55299.0,7052.0,6646.0,42541.0,15001.0,71966.0,12093.0,219413.0,98941.0,6274.0,93599.0,52500.0,49300.0,82414.0,13084.0,66438.0,5535.0,42805.0,254084.0,11738.0,5117.0,72488.0,139505.0,29818.0,49993.0,3497.0
2020-05-02,28985.0,8718.0,43023.0,13448.0,316257.0,28360.0,36138.0,6297.0,174860.0,228352.0,15177.0,7495.0,74476.0,42290.0,23241.0,11916.0,69372.0,50941.0,6993.0,63305.0,55884.0,67399.0,41492.0,25745.0,52527.0,4596.0,5489.0,28550.0,12475.0,88326.0,13675.0,195110.0,85956.0,4044.0,61487.0,93885.0,48120.0,58240.0,9088.0,47673.0,3929.0,36323.0,243935.0,8992.0,3875.0,59631.0,102216.0,13227.0,37885.0,2854.0
2020-05-09,26666.0,7807.0,31570.0,13152.0,212667.0,22732.0,30046.0,5197.0,223082.0,242772.0,12329.0,5795.0,72671.0,29668.0,15820.0,10259.0,69372.0,40125.0,5579.0,45664.0,44915.0,55166.0,37669.0,23618.0,31145.0,3762.0,5619.0,21635.0,10016.0,69689.0,8024.0,199419.0,57354.0,2753.0,52253.0,39079.0,33936.0,50299.0,6245.0,33191.0,5269.0,28377.0,141553.0,7076.0,2913.0,52139.0,110831.0,6045.0,38710.0,3297.0
2020-05-16,25150.0,7741.0,31957.0,11427.0,244431.0,18054.0,25960.0,5554.0,225404.0,177731.0,10964.0,5800.0,72780.0,29436.0,12056.0,8246.0,47321.0,28545.0,4726.0,35346.0,38684.0,56715.0,28893.0,24242.0,28244.0,3660.0,5066.0,17837.0,8794.0,42365.0,7356.0,229524.0,46913.0,2619.0,46855.0,33440.0,23539.0,41673.0,3883.0,29899.0,3891.0,27990.0,134065.0,6228.0,2199.0,44699.0,140119.0,5026.0,31287.0,2303.0
2020-05-23,27919.0,8152.0,26868.0,10825.0,203262.0,15719.0,16603.0,4651.0,175411.0,165499.0,9140.0,4727.0,58263.0,25523.0,13723.0,9480.0,54023.0,23961.0,16667.0,34048.0,38332.0,64574.0,27211.0,23856.0,27436.0,3821.0,5025.0,15607.0,7266.0,34410.0,7058.0,189698.0,44202.0,2978.0,42575.0,43714.0,28452.0,55374.0,2937.0,25380.0,3471.0,25439.0,127717.0,5405.0,1552.0,39242.0,49436.0,4904.0,28967.0,2800.0
2020-05-30,21335.0,7452.0,22012.0,8481.0,228634.0,12519.0,14208.0,3052.0,207707.0,149163.0,7702.0,3646.0,46385.0,22914.0,6449.0,7966.0,43013.0,19334.0,11151.0,31967.0,27630.0,39290.0,21654.0,24014.0,20650.0,3054.0,4272.0,11337.0,6127.0,26752.0,6672.0,82326.0,37047.0,2315.0,35069.0,60376.0,20565.0,42266.0,2748.0,18910.0,1498.0,22255.0,106677.0,4948.0,1465.0,31379.0,31929.0,4685.0,24661.0,2421.0
2020-06-06,19949.0,7081.0,24367.0,9663.0,255836.0,13098.0,15366.0,3037.0,112161.0,135254.0,7338.0,3953.0,44606.0,22931.0,9488.0,6898.0,40733.0,21879.0,3117.0,41695.0,45142.0,27836.0,28311.0,21283.0,19907.0,3078.0,3973.0,10748.0,6303.0,23166.0,5290.0,94167.0,33865.0,2252.0,36151.0,77525.0,24508.0,45049.0,3518.0,23188.0,880.0,20908.0,89676.0,5382.0,1650.0,29231.0,30677.0,4413.0,25047.0,2013.0
