Date,Province_State,Initial_Claims
2020-02-29,AL,1575.0
2020-03-07,AL,1663.0
2020-03-14,AL,1819.0
2020-03-21,AL,10892.0
2020-03-28,AL,80984.0
2020-04-04,AL,106739.0
2020-04-11,AL,77515.0
2020-04-18,AL,66432.0
2020-04-25,AL,74966.0
2020-05-02,AL,28985.0
2020-05-09,AL,26666.0
2020-05-16,AL,25150.0
2020-05-23,AL,27919.0
2020-05-30,AL,21335.0
2020-06-06,AL,19949.0
2020-06-13,AL,18367.0
2020-06-20,AL,18671.0
2020-06-27,AL,18338.0
2020-07-04,AL,19056.0
2020-07-11,AL,20563.0
2020-07-18,AL,23676.0
2020-07-25,AL,17437.0
2020-08-01,AL,11690.0
2020-08-08,AL,9467.0
2020-08-15,AL,11047.0
2020-08-22,AL,8676.0
2020-08-29,AL,8511.0
2020-09-05,AL,8901.0
2020-09-12,AL,8848.0
2020-09-19,AL,8679.0
2020-09-26,AL,8805.0
2020-10-03,AL,7732.0
2020-10-10,AL,8581.0
2020-10-17,AL,7964.0
2020-10-24,AL,7126.0
2020-10-31,AL,7060.0
2020-11-07,AL,8764.0
2020-11-14,AL,9262.0
2020-11-21,AL,11813.0
2020-11-28,AL,7061.0
2020-12-05,AL,7656.0
2020-12-12,AL,7568.0
2020-12-19,AL,7543.0
2020-12-26,AL,5506.0
2021-01-02,AL,10986.0
2021-01-09,AL,14084.0
2021-01-16,AL,11980.0
2021-01-23,AL,11615.0
2021-01-30,AL,12664.0
2021-02-06,AL,13464.0
2021-02-13,AL,12087.0
2021-02-20,AL,11395.0
2021-02-27,AL,11624.0
2021-03-06,AL,13592.0
2021-03-13,AL,16506.0
2021-03-20,AL,13994.0
2021-03-27,AL,18710.0
2021-04-03,AL,5392.0
2021-04-10,AL,10909.0
2021-04-17,AL,8983.0
2021-04-24,AL,9816.0
2021-05-01,AL,10325.0
2021-05-08,AL,10841.0
2021-05-15,AL,9377.0
2021-05-22,AL,8698.0
2021-05-29,AL,7247.0
2021-06-05,AL,7260.0
2021-06-12,AL,5554.0
2021-06-19,AL,6101.0
2021-06-26,AL,5816.0
2021-07-03,AL,7295.0
2021-07-10,AL,5435.0
2021-07-17,AL,4254.0
2021-07-24,AL,3977.0
2021-07-31,AL,5203.0
2021-08-07,AL,6196.0
2021-08-14,AL,5469.0
2021-08-21,AL,5407.0
2021-08-28,AL,5431.0
2021-09-04,AL,5095.0
2021-09-11,AL,3716.0
2021-09-18,AL,4234.0
2021-09-25,AL,4000.0
