date,actual,forecast,error
2022-10-01,11750.0,16694.843785126082,-4944.843785126082
2022-10-08,15137.0,17449.629303108813,-2312.6293031088135
2022-10-15,12048.0,17285.99201530259,-5237.992015302589
2022-10-22,13774.0,16251.328222674434,-2477.328222674434
2022-10-29,13584.0,14741.32834346636,-1157.3283434663608
2022-11-05,13976.0,15211.807147998567,-1235.8071479985665
2022-11-12,14297.0,15047.61787523725,-750.6178752372507
2022-11-19,16505.0,14781.895512479328,1723.1044875206717
2022-11-26,15189.0,14470.549052042363,718.4509479576373
2022-12-03,23966.0,14315.471640324278,9650.528359675722
2022-12-10,16832.0,14228.454252225987,2603.545747774013
2022-12-17,16517.0,14272.464156015427,2244.535843984573
2022-12-24,18596.0,13520.040324299713,5075.959675700287
2022-12-31,21765.0,12938.635632171208,8826.364367828792
2023-01-07,39050.0,12491.704591596848,26558.29540840315
2023-01-14,21642.0,11857.22231737076,9784.77768262924
2023-01-21,16685.0,11510.979649146233,5174.020350853767
2023-01-28,17634.0,10833.140653119306,6800.859346880694
2023-02-04,17210.0,10302.777618419728,6907.222381580272
2023-02-11,16566.0,9656.790599601838,6909.209400398162
2023-02-18,14461.0,9296.73567242318,5164.2643275768205
2023-02-25,13878.0,9023.29507474901,4854.70492525099
2023-03-04,30122.0,9209.67451364643,20912.32548635357
