Date,Province_State,claims,Confirmed,Deaths,Recovered,Active
4/18/2020,FL,506670,25492,748,,
4/25/2020,FL,433103,30839,1055,,
5/2/2020,FL,174860,35463,1364,0,34099
5/9/2020,FL,223082,40001,1715,,
5/16/2020,FL,225404,44811,1964,,
5/23/2020,FL,175411,50127,2233,,
5/30/2020,FL,207707,55424,2447,,
6/6/2020,FL,112161,62758,2688,,
6/13/2020,FL,88148,73552,2925,,
6/20/2020,FL,95683,93797,3144,,
6/27/2020,FL,84370,132545,3390,,
7/4/2020,FL,66941,190052,3702,,
7/11/2020,FL,132831,254511,4197,,
7/18/2020,FL,108976,337569,4895,,
7/25/2020,FL,91462,414511,5777,,
8/1/2020,FL,78286,480028,7022,,
8/8/2020,FL,61584,526577,8109,,
8/15/2020,FL,72774,569637,9345,,
8/22/2020,FL,51647,597597,10274,,
8/29/2020,FL,45590,619003,11105,,
9/5/2020,FL,40256,643867,11811,,
9/12/2020,FL,37265,661571,12600,,
9/19/2020,FL,39028,681233,13287,,
9/26/2020,FL,32373,698682,14022,,
10/3/2020,FL,42306,714591,14628,,
10/10/2020,FL,47904,728921,15186,,
10/17/2020,FL,40070,752481,15917,,
10/24/2020,FL,33542,776251,16417,,
10/31/2020,FL,31625,802547,16761,,
11/7/2020,FL,31403,837077,17100,,
11/14/2020,FL,24358,875096,17489,,
11/21/2020,FL,26931,931827,17930,,
11/28/2020,FL,23063,985297,18442,,
12/5/2020,FL,29142,1049638,19084,,
12/12/2020,FL,26018,1116973,19785,,
12/19/2020,FL,28609,1193165,20473,,
12/26/2020,FL,26533,1264588,21135,,
1/2/2021,FL,24697,1354833,21890,,
1/9/2021,FL,30583,1464697,22804,,
1/16/2021,FL,39226,1560186,24004,,
1/23/2021,FL,62818,1639914,25164,,
1/30/2021,FL,69140,1713589,26360,,
2/6/2021,FL,21710,1771359,27599,,
2/13/2021,FL,21564,1821937,28683,,
2/20/2021,FL,18630,1863707,29813,,
2/27/2021,FL,19020,1903682,30734,,
3/6/2021,FL,19281,1940897,31620,,
3/13/2021,FL,20340,1973109,32225,,
3/20/2021,FL,17349,2004362,32713,,
3/27/2021,FL,15716,2039062,33142,,
4/3/2021,FL,15025,2077032,33652,,
4/10/2021,FL,24402,2118713,34014,,
4/17/2021,FL,18838,2162067,34404,,
4/24/2021,FL,28017,2203913,34812,,
5/1/2021,FL,19765,2238937,35239,,
5/8/2021,FL,17555,2266575,35700,,
5/15/2021,FL,14561,2289522,36056,,
5/22/2021,FL,9882,2308266,36463,,
5/29/2021,FL,8257,2320818,36774,,
6/5/2021,FL,6552,2332867,36985,,
6/12/2021,FL,9896,2344321,37265,,
6/19/2021,FL,7667,2354416,37555,,
6/26/2021,FL,6917,2365464,37772,,
7/3/2021,FL,6739,2381148,37985,,
7/10/2021,FL,7457,2404895,38157,,
7/17/2021,FL,9970,2450344,38388,,
7/24/2021,FL,10110,2523510,38670,,
7/31/2021,FL,7718,2634234,39079,,
8/7/2021,FL,5905,2768985,39695,,
8/14/2021,FL,5432,2920749,40766,,
8/21/2021,FL,7977,3071489,42252,,
8/28/2021,FL,9700,3223249,43979,,
9/4/2021,FL,7218,3352451,46324,,
9/11/2021,FL,7761,3452700,48772,,
9/18/2021,FL,9316,3528698,51240,,
9/25/2021,FL,7713,3582807,53580,,
10/2/2021,FL,7054,3620106,55299,,
10/9/2021,FL,6215,3645290,56667,,
10/16/2021,FL,7481,3664097,57859,,
10/23/2021,FL,8788,3678661,58803,,
10/30/2021,FL,6502,3690812,59670,,
11/6/2021,FL,6217,3701310,60334,,
11/13/2021,FL,6116,3711612,60698,,
11/20/2021,FL,5831,3721503,61081,,
11/27/2021,FL,4136,3721503,61147,,
12/4/2021,FL,6212,3741058,61701,,
12/11/2021,FL,6033,3754042,62026,,
12/18/2021,FL,5160,3782883,62220,,
12/25/2021,FL,4244,3907748,62347,,
1/1/2022,FL,4299,4209927,62504,,
1/8/2022,FL,10103,4633077,62688,,
1/15/2022,FL,8593,5041918,63158,,
1/22/2022,FL,7346,5324438,63763,,
1/29/2022,FL,6680,5522206,64955,,
2/5/2022,FL,5925,5653905,66279,,
2/12/2022,FL,6044,5776333,67572,,
2/19/2022,FL,5510,5818706,68902,,
2/26/2022,FL,3328,5844229,69790,,
3/5/2022,FL,3830,5858052,70997,,
3/12/2022,FL,3910,5868263,71860,,
3/19/2022,FL,4866,5868263,72704,,
3/26/2022,FL,4701,5885004,73027,,
4/2/2022,FL,5167,5885004,73290,,
4/9/2022,FL,6619,5906352,73555,,
4/16/2022,FL,5668,5906352,73689,,
4/23/2022,FL,5240,5942723,73830,,
4/30/2022,FL,5221,5942723,73948,,
5/7/2022,FL,4475,6002153,74085,,
5/14/2022,FL,5104,6002153,74178,,
5/21/2022,FL,5218,6101783,74331,,
5/28/2022,FL,3698,6125115,74466,,
6/4/2022,FL,5796,6240440,74667,,
6/11/2022,FL,7035,6282014,74886,,
6/18/2022,FL,6500,6389198,75096,,
6/25/2022,FL,6318,6430582,75577,,
7/2/2022,FL,6155,6537512,75891,,
7/9/2022,FL,7267,6561833,76193,,
7/16/2022,FL,7858,6683581,76662,,
7/23/2022,FL,6901,6716112,77098,,
7/30/2022,FL,6140,6833033,77565,,
8/6/2022,FL,5998,6855234,78047,,
8/13/2022,FL,6074,6979951,78559,,
8/20/2022,FL,5809,6954834,79017,,
8/27/2022,FL,5366,7041916,79573,,
9/3/2022,FL,5472,7042096,80027,,
9/10/2022,FL,5215,7108060,80408,,
9/17/2022,FL,5833,7109769,80782,,
9/24/2022,FL,5472,7150188,81139,,
10/1/2022,FL,4269,7150188,81416,,
10/8/2022,FL,14934,7172780,81661,,
10/15/2022,FL,11341,7172780,81910,,
10/22/2022,FL,9337,7192835,82176,,
10/29/2022,FL,7803,7192835,82176,,
11/5/2022,FL,7412,7215992,82541,,
11/12/2022,FL,6110,7215992,82541,,
11/19/2022,FL,6534,7239478,82875,,
11/26/2022,FL,4109,7239478,82875,,
12/3/2022,FL,6393,7270410,83201,,
12/10/2022,FL,6035,7270410,83201,,
12/17/2022,FL,5669,7312963,83606,,
12/24/2022,FL,4579,7312963,83606,,
12/31/2022,FL,4238,7338503,83906,,
1/7/2023,FL,7447,7393712,84176,,
1/14/2023,FL,7121,7393712,84176,,
1/21/2023,FL,5557,7443954,84927,,
1/28/2023,FL,5866,7443954,84927,,
2/4/2023,FL,6434,7483857,85710,,
2/11/2023,FL,5887,7483857,85710,,
2/18/2023,FL,5353,7516906,86294,,
2/25/2023,FL,5293,7516906,86294,,
3/4/2023,FL,4865,7574590,86850,,
4/18/2020,GA,247003,17669,673,,
4/25/2020,GA,266565,23222,907,,
5/2/2020,GA,228352,28331,1177,0,27154
5/9/2020,GA,242772,32588,1403,,
5/16/2020,GA,177731,37212,1598,,
5/23/2020,GA,165499,42242,1822,,
