date,actual,forecast,error
2022-11-19,6534,7058.85296258884,-524.8529625888395
2022-11-26,4109,6237.346582979742,-2128.3465829797424
2022-12-03,6393,7110.51931520618,-717.5193152061802
2022-12-10,6035,6233.961606868098,-198.961606868098
2022-12-17,5669,7366.481720356573,-1697.4817203565726
2022-12-24,4579,6233.905266133029,-1654.9052661330288
2022-12-31,4238,7011.640970189536,-2773.6409701895363
2023-01-07,7447,7263.526621430929,183.47337856907143
2023-01-14,7121,6233.913700563538,887.0862994364616
2023-01-21,5557,8040.736069840343,-2483.7360698403427
2023-01-28,5866,6233.913770661799,-367.9137706617994
2023-02-04,6434,7990.049593065758,-1556.049593065758
2023-02-11,5887,6233.913767420905,-346.91376742090506
2023-02-18,5353,7577.358007001996,-2224.358007001996
2023-02-25,5293,6233.913767459053,-940.9137674590529
2023-03-04,4865,7781.185888912294,-2916.185888912294
